id,created_at,text,table_name,table_schema,user_id,user_name,user_screen_name,user_description,user_followers_count,rn
1389609852213727237,2021-05-04 15:56:21 UTC,@OPPOIndonesia ✍Butuh memori besar 128GB di OPPO A54 buat simpan file-file tugas kuliah dan testimoni online shop -ku ��Semoga oppo A54 bisa menunjang penghasilan keluargaku �� @OPPOIndonesia @nisa_rkt @Bebheey @kus_ica @Erna19_ @Saftriyuni #OPPOA54 �� 2.765,gajibonus_aspect,pr_indekspersepsikonsumen,709558688915128320,ikaa,rikamudrikah13,"subhanallahi-wa-bihamdihi [] subhanAllahil-Azim Sahih Bukhari: Book 83, Hadis 59",125,1
1390523423361667072,2021-05-07 04:26:33 UTC,"@inimikay haii, @37O33 jual apps premium nih, dijamin aman, trusted dan full garansi 1OO% untuk order langsung dm, jangan lupa mt setelah req dm ya :D t. ada yang yg jual netflix disney+ hotstar spotify viu youtube premium we tv iflix apple music canva https://t.co/lYM9clvEaJ",hiburan_aspect,pr_indekspersepsikonsumen,725872101945663489,calla,pulpty,gak tau deh ni akun keberapa juta kalinya,7,1
1387414515520704518,2021-04-28 14:32:52 UTC,@kegblgnunfaedh pengangguran ketemu beban keluarga,pengangguran_aspect,pr_indekspersepsikonsumen,2462449513,kurcaci,Cangcingaan,cari tahu sendiri..!!,252,1
1382522868647350272,2021-04-15 02:35:12 UTC,@wahyuhdyttt_ Permisi kaka semua udh pada tau blm nih tentang desa wisata di lombok 1 ini cek yuk siapa tau ada yg minat rencana liburan kesana hehe... #LawSchoolEP1 https://t.co/XzZzvNEW7h,liburan_aspect,pr_indekspersepsikonsumen,1297812966532767744,ochim,ochim2000,Ochim,12,1
1384314744148881411,2021-04-20 01:15:28 UTC,@wintergathan @Bolanet @bolacomID Ente konyol ngk semua klub itu keuangan nya bagus..makanya dibikin tuh liga tandingan..emang gaji pemain pake daun!!!,gajibonus_aspect,pr_indekspersepsikonsumen,947717294,Iman Hazard,imanto1987,apapun itu keluarga itu yg utama..,35,1
1382716037657874432,2021-04-15 15:22:47 UTC,@yoshihi__ kalau aku ntar ak jual uangnya buat biaya kuliah nnti. keren kan baru kuliah udh megang duit segepok,pendidikan_aspect,pr_indekspersepsikonsumen,1254416641586130944,icca,iccajwoo,#코코아정우 jw is jewel,576,1
1381882158688575496,2021-04-13 08:09:15 UTC,"Baru kali ini hp ga kenapa2, gapernah jatoh atau kemasukan air dan pemakaiannya bener2 dijaga bgt. Ngegame sama nonton drakor/netflix di 11 aja gapernah samsek. Tbtb lcd cacat dan mikrofon sama speaker bawah ga berfungsi. Aneh bgt sumpah����",hiburan_aspect,pr_indekspersepsikonsumen,1300394155277918208,Dey,vanillenue,Happiness comes in many forms. We just need to learn how to see it.,16,1
1384661086373171202,2021-04-21 00:11:43 UTC,RT @hellajays: nanti malem ada teaser mv kan? beli youtube premium di gue bisa kali �� https://t.co/dOOjqGuZ0Y,hiburan_aspect,pr_indekspersepsikonsumen,1280103389632688129,icel⁷ ⟗ ��,cakeoaoa,~ @enhypen_members @bts_twt,512,1
1390266070439653377,2021-05-06 11:23:55 UTC,"23. upah bubur, air, sama tenaga https://t.co/7kyC4ODY7H",gajibonus_aspect,pr_indekspersepsikonsumen,1384494717056937991,Rin��_AU yedam ongoing,riniyarin,to make the world be round◔◡◔ masih penulis amatirシ @treasuremembers ��,14,1
1387347471181832197,2021-04-28 10:06:27 UTC,@DonAdam68 Belum org kena phk,pengangguran_aspect,pr_indekspersepsikonsumen,1290598220704358400,Indisatrautami,indisatrautami,HambAllah,165,1
